iter	RMSE
0	23.14106584
1	22.57104785
2	22.05129633
3	21.64178554
4	21.21575439
5	20.73874663
6	20.3251954
7	19.92397175
8	19.56984518
9	19.29535608
10	18.97021992
11	18.65329018
12	18.39474841
13	18.12775416
14	17.8617733
15	17.61363255
16	17.40987117
17	17.22661887
18	17.03311242
19	16.85782964
20	16.70152295
21	16.56997659
22	16.4489479
23	16.30347069
24	16.1952718
25	16.0817509
26	15.97315424
27	15.90157334
28	15.81705945
29	15.72882621
30	15.64918631
31	15.58919334
32	15.52392231
33	15.45009304
34	15.3808567
35	15.32089261
36	15.26354798
37	15.21612956
38	15.17279136
39	15.11666929
40	15.07883625
41	15.04342487
42	15.00020087
43	14.95471307
44	14.91020464
45	14.86853585
46	14.82769521
47	14.79589773
48	14.77035494
49	14.74386672
50	14.72140245
51	14.69651734
52	14.67082793
53	14.65221534
54	14.63999284
55	14.61432107
56	14.59641058
57	14.57557716
58	14.55909491
59	14.54358126
60	14.5223299
61	14.49956012
62	14.47927566
63	14.46240286
64	14.44712516
65	14.43204357
66	14.41620748
67	14.39056482
68	14.37681732
69	14.3618957
70	14.33979102
71	14.32474358
72	14.30668743
73	14.29836397
74	14.28708029
75	14.27232734
76	14.25776436
77	14.24630339
78	14.23805228
79	14.23097762
80	14.22153517
81	14.20998038
82	14.19418119
83	14.18349796
84	14.16611404
85	14.15535029
86	14.14529886
87	14.12888685
88	14.11284001
89	14.1022228
90	14.08817713
91	14.07532679
92	14.06534213
93	14.05782332
94	14.04404621
95	14.03269761
96	14.02264901
97	14.01346861
98	14.00431695
99	13.99361507
100	13.98273535
101	13.97690567
102	13.9691097
103	13.95990588
104	13.94914535
105	13.93530277
106	13.92863203
107	13.91908532
108	13.91367929
109	13.90918566
110	13.90863011
111	13.90169894
112	13.89710171
113	13.89104902
114	13.88429802
115	13.87486427
116	13.86693958
117	13.86393588
118	13.85770931
119	13.85218288
120	13.84699314
121	13.83761849
122	13.83199262
123	13.82651911
124	13.81809824
125	13.81348576
126	13.8099322
127	13.80407746
128	13.79335333
129	13.79189446
130	13.78784895
131	13.78123248
132	13.77267353
133	13.76633473
134	13.76133039
135	13.75502552
136	13.75001513
137	13.74326135
138	13.7395318
139	13.72965715
140	13.72329676
141	13.71529944
142	13.7027656
143	13.69535117
144	13.6864435
145	13.68110452
146	13.67415006
147	13.67061138
148	13.66581379
149	13.66155816
150	13.65571379
151	13.6517097
152	13.64652769
153	13.64388519
154	13.63975644
155	13.63885665
156	13.63497684
157	13.6306997
158	13.62602834
159	13.61993642
160	13.61554162
161	13.61005488
162	13.60251125
163	13.59817606
164	13.59454528
165	13.59069383
166	13.58494607
167	13.57756489
168	13.56936495
169	13.56497813
170	13.55611445
171	13.55267942
172	13.54900928
173	13.54332318
174	13.5304299
175	13.52614527
176	13.51917573
177	13.51353769
178	13.51003825
179	13.50311703
180	13.49667265
181	13.48825258
182	13.48296202
183	13.47145082
184	13.46679231
185	13.45578733
186	13.45246436
187	13.44834722
188	13.44489157
189	13.43371165
190	13.42539789
191	13.42128052
192	13.41746214
193	13.41311771
194	13.41055291
195	13.40533245
196	13.3968561
197	13.39064891
198	13.38718133
199	13.38147117
200	13.36560468
201	13.3557178
202	13.35302393
203	13.34752461
204	13.3381335
205	13.33241152
206	13.32752981
207	13.32455098
208	13.31921026
209	13.3111691
210	13.30782789
211	13.30493992
212	13.29861867
213	13.29377955
214	13.28948583
215	13.27586273
216	13.26801375
217	13.26387829
218	13.25874404
219	13.25303382
220	13.24826299
221	13.24335155
222	13.23870175
223	13.23493634
224	13.22783377
225	13.22270627
226	13.21794171
227	13.21315328
228	13.20631744
229	13.20155465
230	13.19828435
231	13.19298978
232	13.18864728
233	13.18493074
234	13.18077725
235	13.17742537
236	13.17733549
237	13.17399029
238	13.16813997
239	13.16534933
240	13.15933182
241	13.15559132
242	13.1528896
243	13.14968338
244	13.14636692
245	13.14265498
246	13.13809657
247	13.13150177
248	13.12659895
249	13.1223886
250	13.11875841
251	13.11493607
252	13.10927566
253	13.10371381
254	13.09839112
255	13.09324138
256	13.08970432
257	13.0855001
258	13.08092173
259	13.07764706
260	13.07341299
261	13.06979641
262	13.0653396
263	13.05797829
264	13.05340154
265	13.04658784
266	13.04370724
267	13.03982276
268	13.03636446
269	13.03415522
270	13.02962545
